word_set,rule_set,affixes,r62_r63,n_signs,word_count,share_any_root,min_roots,median_roots,max_roots,mean_roots,share_paper_root,mean_paper_roots
real (never read),stated only,on,off,4,103,0.534,0,1,135,6.65,0.1068,0.126
real (never read),stated only,on,off,5,30,0.2667,0,0.0,19,1.7,0.0667,0.067
real (never read),stated only,on,off,6,8,0.0,0,0.0,0,0,0.0,0
real (never read),stated only,on,off,7,4,0.0,0,0.0,0,0,0.0,0
real (never read),stated only,on,off,9,1,0.0,0,0,0,0,0.0,0
real (never read),stated only,on,off,16,1,0.0,0,0,0,0,0.0,0
real (never read),stated only,on,off,19,1,0.0,0,0,0,0,0.0,0
real (never read),stated only,on,off,all,691,0.8017,0,10,135,16.03,0.2315,0.318
shuffled,stated only,on,off,2,239,0.9958,0,19,73,21.9,0.318,0.469
shuffled,stated only,on,off,3,1376,0.7878,0,5.0,113,13.88,0.2049,0.279
shuffled,stated only,on,off,4,1360,0.4875,0,0.0,136,5.85,0.0772,0.103
shuffled,stated only,on,off,5,440,0.25,0,0.0,58,2.17,0.05,0.07
shuffled,stated only,on,off,6,200,0.145,0,0.0,30,0.92,0.01,0.01
shuffled,stated only,on,off,7,70,0.0286,0,0.0,65,1.14,0.0286,0.043
shuffled,stated only,on,off,8,20,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,on,off,9,10,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,on,off,16,10,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,on,off,19,10,0.0,0,0.0,0,0,0.0,0
shuffled,stated only,on,off,all,3735,0.5692,0,2,136,8.97,0.1309,0.18
Linear A-like,stated only,on,off,2,2870,0.9906,0,19.0,108,22.07,0.2815,0.49
Linear A-like,stated only,on,off,3,2880,0.8125,0,8.0,134,15.89,0.2455,0.373
Linear A-like,stated only,on,off,4,1360,0.4765,0,0.0,132,6.68,0.125,0.174
Linear A-like,stated only,on,off,5,440,0.2045,0,0.0,75,2.25,0.0455,0.061
Linear A-like,stated only,on,off,6,200,0.055,0,0.0,22,0.34,0.025,0.025
Linear A-like,stated only,on,off,7,70,0.0143,0,0.0,26,0.37,0.0,0
Linear A-like,stated only,on,off,8,20,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,on,off,9,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,on,off,16,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,on,off,19,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,stated only,on,off,all,7870,0.7539,0,9.0,134,15.16,0.2173,0.349
real (all),stated only,off,on,2,287,0.9861,0,14,63,17.65,0.2962,0.352
real (all),stated only,off,on,3,288,0.6771,0,2.0,54,6.79,0.1215,0.135
